sample,hardware_type,file_system,strategy,split_time,merge_time,config_file
bigBrainSample0.nii,,tmpfs,Strategy.CLUSTERED,8.34614896774292,22.852410078048706,config.json
bigBrainSample0.nii,hdd,ext4,Strategy.CLUSTERED,38.429100036621094,46.02161717414856,config.json
bigBrainSample0.nii,,tmpfs,Strategy.MULTIPLE,12.700467109680176,28.388806104660034,config.json
bigBrainSample0.nii,hdd,ext4,Strategy.MULTIPLE,42.78943991661072,52.07489609718323,config.json
bigBrainSample0.nii,,tmpfs,Strategy.NAIVE,19.52710795402527,16.887439966201782,config.json
bigBrainSample0.nii,hdd,ext4,Strategy.NAIVE,19.025782823562622,359.5117988586426,config.json
bigBrainSample1.nii,,tmpfs,Strategy.CLUSTERED,8.008274793624878,21.1924090385437,config.json
bigBrainSample1.nii,hdd,ext4,Strategy.CLUSTERED,37.80548095703125,46.40450191497803,config.json
bigBrainSample1.nii,,tmpfs,Strategy.MULTIPLE,12.087137937545776,28.09109401702881,config.json
bigBrainSample1.nii,hdd,ext4,Strategy.MULTIPLE,41.889907121658325,51.41029500961304,config.json
bigBrainSample1.nii,,tmpfs,Strategy.NAIVE,20.387244939804077,17.204282999038696,config.json
bigBrainSample1.nii,hdd,ext4,Strategy.NAIVE,19.987544059753418,321.44081592559814,config.json
bigBrainSample2.nii,,tmpfs,Strategy.CLUSTERED,8.023850917816162,21.100672006607056,config.json
bigBrainSample2.nii,hdd,ext4,Strategy.CLUSTERED,37.85048007965088,47.09409785270691,config.json
bigBrainSample2.nii,,tmpfs,Strategy.MULTIPLE,12.335092067718506,28.374451160430908,config.json
bigBrainSample2.nii,hdd,ext4,Strategy.MULTIPLE,42.93159294128418,49.48135495185852,config.json
bigBrainSample2.nii,,tmpfs,Strategy.NAIVE,26.589874029159546,18.378464937210083,config.json
bigBrainSample2.nii,hdd,ext4,Strategy.NAIVE,26.2149338722229,316.7184751033783,config.json
bigBrainSample3.nii,,tmpfs,Strategy.CLUSTERED,8.128368139266968,21.3527090549469,config.json
bigBrainSample3.nii,hdd,ext4,Strategy.CLUSTERED,38.255258083343506,46.41471815109253,config.json
bigBrainSample3.nii,,tmpfs,Strategy.MULTIPLE,12.274271011352539,26.190557956695557,config.json
bigBrainSample3.nii,hdd,ext4,Strategy.MULTIPLE,42.38049507141113,49.48388695716858,config.json
bigBrainSample3.nii,,tmpfs,Strategy.NAIVE,32.668866872787476,19.398962020874023,config.json
bigBrainSample3.nii,hdd,ext4,Strategy.NAIVE,32.3273401260376,317.9905300140381,config.json
bigBrainSample4.nii,,tmpfs,Strategy.CLUSTERED,8.237938165664673,21.406611919403076,config.json
bigBrainSample4.nii,hdd,ext4,Strategy.CLUSTERED,38.25560688972473,45.739668130874634,config.json
bigBrainSample4.nii,,tmpfs,Strategy.MULTIPLE,12.61897587776184,27.475983142852783,config.json
bigBrainSample4.nii,hdd,ext4,Strategy.MULTIPLE,42.26270389556885,49.90639805793762,config.json
bigBrainSample4.nii,,tmpfs,Strategy.NAIVE,38.41353392601013,20.253654956817627,config.json
bigBrainSample4.nii,hdd,ext4,Strategy.NAIVE,37.74371910095215,293.89863681793213,config.json
