sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,37.94166970252991,43.312992572784424,2824,3388009,23.91734266281128,0.04787445068359375,2.222003698348999,24.715343713760376,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,116.80066418647766,74.99418139457703,3726808,3388009,25.152605056762695,22.892937183380127,89.35195446014404,43.53952407836914,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,68.77900433540344,107.78051376342773,0,3388011,16.4770290851593,0.004431247711181641,2.263852596282959,50.680392026901245,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,107.13656854629517,110.40991425514221,2824,3388009,92.57032895088196,0.048245906829833984,2.7991340160369873,60.02955484390259,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,35.065953969955444,42.89757561683655,2824,3388009,21.058148622512817,0.05398440361022949,2.1923935413360596,25.586254835128784,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.663583755493164,43.583394050598145,2824,3388009,20.714534997940063,0.052234649658203125,2.182943820953369,26.101535320281982,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,69.90583801269531,111.5176477432251,0,3388011,16.78826141357422,0.004057884216308594,2.2675325870513916,52.354877948760986,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,196.2580065727234,166.0749921798706,3726808,3388009,70.6465311050415,37.814228773117065,123.27667593955994,119.38717365264893,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,36.939000368118286,43.065051317214966,2824,3388009,22.909361362457275,0.0486905574798584,2.1706626415252686,25.572422742843628,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,182.97962522506714,170.42324542999268,3726808,3388009,59.50243163108826,38.33363056182861,121.05177521705627,123.33335423469543,0,0
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,39.483821868896484,50.57970404624939,0,3388011,4.46248722076416,0.0038983821868896484,2.2577524185180664,22.918176651000977,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,35.21562194824219,44.577900409698486,2824,3388009,21.31630229949951,0.054358720779418945,2.1662590503692627,26.574532508850098,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,71.65268135070801,117.78249835968018,0,3388011,17.889859676361084,0.003987312316894531,2.2559962272644043,55.33005332946777,0,0
