hardware_type,file_system,function,iteration,seek_distance,time
,,random,0,,8.17318511009
,,random,1,,8.41509103775
,,random,2,,8.66478586197
,,random,3,,8.74414992332
,,random,4,,8.47445392609
,,random,5,,9.04972600937
,,random,6,,9.13140392303
,,random,7,,8.67197799683
ram,tmpfs,seeks_random,0,,18.2428619862
ram,tmpfs,seeks_random,1,,19.9485328197
ram,tmpfs,seeks_random,2,,19.1661808491
ram,tmpfs,seeks_random,3,,19.6016180515
ram,tmpfs,seeks_random,4,,19.3416209221
ram,tmpfs,seeks_random,5,,19.1833298206
ram,tmpfs,seeks_random,6,,19.3676199913
ram,tmpfs,seeks_random,7,,19.4484469891
hdd,ext4,seeks_random,0,,20.8596088886
hdd,ext4,seeks_random,1,,19.720154047
hdd,ext4,seeks_random,2,,21.4595170021
hdd,ext4,seeks_random,3,,22.017537117
hdd,ext4,seeks_random,4,,21.3672330379
hdd,ext4,seeks_random,5,,21.3103399277
hdd,ext4,seeks_random,6,,21.0040199757
hdd,ext4,seeks_random,7,,21.7229528427
ram,tmpfs,seek_and_read,0,5000,29.741973877
ram,tmpfs,seek_and_read,1,5000,30.1645379066
ram,tmpfs,seek_and_read,2,5000,29.8519170284
ram,tmpfs,seek_and_read,3,5000,29.1175420284
ram,tmpfs,seek_and_read,4,5000,29.4251198769
ram,tmpfs,seek_and_read,5,5000,28.5139029026
ram,tmpfs,seek_and_read,6,5000,28.9908809662
ram,tmpfs,seek_and_read,7,5000,29.1426949501
hdd,ext4,seek_and_read,0,5000,29.676789999
hdd,ext4,seek_and_read,1,5000,29.9320919514
hdd,ext4,seek_and_read,2,5000,30.6461091042
hdd,ext4,seek_and_read,3,5000,30.8239839077
hdd,ext4,seek_and_read,4,5000,30.4575638771
hdd,ext4,seek_and_read,5,5000,30.8879668713
hdd,ext4,seek_and_read,6,5000,30.9581999779
hdd,ext4,seek_and_read,7,5000,30.1016788483
ram,tmpfs,seek_and_read,0,50000,28.8210749626
ram,tmpfs,seek_and_read,1,50000,29.3587667942
ram,tmpfs,seek_and_read,2,50000,28.7431828976
ram,tmpfs,seek_and_read,3,50000,29.1138911247
ram,tmpfs,seek_and_read,4,50000,28.9493701458
ram,tmpfs,seek_and_read,5,50000,29.9554362297
ram,tmpfs,seek_and_read,6,50000,29.8190450668
ram,tmpfs,seek_and_read,7,50000,30.067029953
hdd,ext4,seek_and_read,0,50000,30.8056008816
hdd,ext4,seek_and_read,1,50000,30.5484690666
hdd,ext4,seek_and_read,2,50000,30.5955171585
hdd,ext4,seek_and_read,3,50000,31.709474802
hdd,ext4,seek_and_read,4,50000,30.268581152
hdd,ext4,seek_and_read,5,50000,29.6439511776
hdd,ext4,seek_and_read,6,50000,30.2526659966
hdd,ext4,seek_and_read,7,50000,30.1747682095
ram,tmpfs,seek_and_read,0,100000,28.8139181137
ram,tmpfs,seek_and_read,1,100000,30.039359808
ram,tmpfs,seek_and_read,2,100000,30.1917860508
ram,tmpfs,seek_and_read,3,100000,30.1424779892
ram,tmpfs,seek_and_read,4,100000,30.2131929398
ram,tmpfs,seek_and_read,5,100000,30.4495670795
ram,tmpfs,seek_and_read,6,100000,30.3036191463
ram,tmpfs,seek_and_read,7,100000,29.7168250084
