hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ssd,ext4,bench_read_speed10000,0,500000,,105.855575085
ssd,ext4,bench_read_speed10000,1,500000,,105.800737143
ssd,ext4,bench_read_speed10000,2,500000,,105.844097137
ssd,ext4,bench_read_speed10000,3,500000,,105.986531019
ssd,ext4,bench_read_speed10000,4,500000,,105.792751789
hdd,ext4,bench_read_speed10000,0,500000,,3057.95906091
hdd,ext4,bench_read_speed10000,1,500000,,3070.31987405
hdd,ext4,bench_read_speed10000,2,500000,,3073.23976684
hdd,ext4,bench_read_speed10000,3,500000,,3079.000772
hdd,ext4,bench_read_speed10000,4,500000,,3052.80132985
ssd,ext4,bench_read_speed10000,0,1000000,,171.427491903
ssd,ext4,bench_read_speed10000,1,1000000,,171.462774038
ssd,ext4,bench_read_speed10000,2,1000000,,171.892856836
ssd,ext4,bench_read_speed10000,3,1000000,,171.863619804
ssd,ext4,bench_read_speed10000,4,1000000,,171.54624486
hdd,ext4,bench_read_speed10000,0,1000000,,5226.60749602
hdd,ext4,bench_read_speed10000,1,1000000,,5213.76096296
hdd,ext4,bench_read_speed10000,2,1000000,,5215.01341105
hdd,ext4,bench_read_speed10000,3,1000000,,5189.38637781
hdd,ext4,bench_read_speed10000,4,1000000,,5141.46122909
ssd,ext4,bench_read_speed10000,0,5000000,,689.511926889
ssd,ext4,bench_read_speed10000,1,5000000,,682.676257849
ssd,ext4,bench_read_speed10000,2,5000000,,674.42173481
ssd,ext4,bench_read_speed10000,3,5000000,,669.692160845
ssd,ext4,bench_read_speed10000,4,5000000,,665.363959074
