hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ram,tmpfs,rand_python_time,0,1,,1.09672546387e-05
ram,tmpfs,rand_python_time,1,1,,1.00135803223e-05
ram,tmpfs,rand_python_time,2,1,,1.09672546387e-05
ram,tmpfs,rand_python_time,3,1,,1.09672546387e-05
ram,tmpfs,rand_python_time,4,1,,1.19209289551e-05
ram,tmpfs,rand_python_time,5,1,,1.00135803223e-05
ram,tmpfs,rand_python_time,6,1,,1.00135803223e-05
ram,tmpfs,rand_python_time,7,1,,1.00135803223e-05
ssd,ext4,rand_python_time,0,1,,0.000110864639282
ssd,ext4,rand_python_time,1,1,,0.000156164169312
ssd,ext4,rand_python_time,2,1,,0.000125169754028
ssd,ext4,rand_python_time,3,1,,0.000112056732178
ssd,ext4,rand_python_time,4,1,,0.000130891799927
ssd,ext4,rand_python_time,5,1,,0.000112056732178
ssd,ext4,rand_python_time,6,1,,0.000376224517822
ssd,ext4,rand_python_time,7,1,,0.000113964080811
hdd,ext4,rand_python_time,0,1,,0.0449631214142
hdd,ext4,rand_python_time,1,1,,0.000174999237061
hdd,ext4,rand_python_time,2,1,,0.000139951705933
hdd,ext4,rand_python_time,3,1,,0.000150918960571
hdd,ext4,rand_python_time,4,1,,0.000153064727783
hdd,ext4,rand_python_time,5,1,,0.000151872634888
hdd,ext4,rand_python_time,6,1,,0.000160932540894
hdd,ext4,rand_python_time,7,1,,0.000149011611938
ram,tmpfs,rand_python_time,0,10,,1.95503234863e-06
ram,tmpfs,rand_python_time,1,10,,1.93119049072e-06
ram,tmpfs,rand_python_time,2,10,,1.8835067749e-06
ram,tmpfs,rand_python_time,3,10,,1.85966491699e-06
ram,tmpfs,rand_python_time,4,10,,2.21729278564e-06
ram,tmpfs,rand_python_time,5,10,,1.97887420654e-06
ram,tmpfs,rand_python_time,6,10,,1.8835067749e-06
ram,tmpfs,rand_python_time,7,10,,2.05039978027e-06
ssd,ext4,rand_python_time,0,10,,2.25067138672e-05
ssd,ext4,rand_python_time,1,10,,2.26020812988e-05
ssd,ext4,rand_python_time,2,10,,2.18868255615e-05
ssd,ext4,rand_python_time,3,10,,2.87055969238e-05
ssd,ext4,rand_python_time,4,10,,2.38656997681e-05
ssd,ext4,rand_python_time,5,10,,2.64406204224e-05
ssd,ext4,rand_python_time,6,10,,1.66177749634e-05
ssd,ext4,rand_python_time,7,10,,1.42812728882e-05
hdd,ext4,rand_python_time,0,10,,0.000779557228088
hdd,ext4,rand_python_time,1,10,,0.000114393234253
hdd,ext4,rand_python_time,2,10,,7.28130340576e-05
hdd,ext4,rand_python_time,3,10,,7.22169876099e-05
hdd,ext4,rand_python_time,4,10,,7.09295272827e-05
hdd,ext4,rand_python_time,5,10,,7.04765319824e-05
hdd,ext4,rand_python_time,6,10,,7.30991363525e-05
hdd,ext4,rand_python_time,7,10,,7.28368759155e-05
ram,tmpfs,rand_python_time,0,100,,9.13143157959e-07
ram,tmpfs,rand_python_time,1,100,,1.36852264404e-06
ram,tmpfs,rand_python_time,2,100,,9.67979431152e-07
ram,tmpfs,rand_python_time,3,100,,9.8705291748e-07
ram,tmpfs,rand_python_time,4,100,,8.53538513184e-07
ram,tmpfs,rand_python_time,5,100,,9.36985015869e-07
ram,tmpfs,rand_python_time,6,100,,8.32080841064e-07
ram,tmpfs,rand_python_time,7,100,,8.79764556885e-07
ssd,ext4,rand_python_time,0,100,,3.19242477417e-06
ssd,ext4,rand_python_time,1,100,,2.08377838135e-06
ssd,ext4,rand_python_time,2,100,,3.28302383423e-06
ssd,ext4,rand_python_time,3,100,,3.08752059937e-06
ssd,ext4,rand_python_time,4,100,,3.18288803101e-06
ssd,ext4,rand_python_time,5,100,,3.23057174683e-06
ssd,ext4,rand_python_time,6,100,,3.10897827148e-06
ssd,ext4,rand_python_time,7,100,,3.25202941895e-06
hdd,ext4,rand_python_time,0,100,,5.86533546448e-05
hdd,ext4,rand_python_time,1,100,,1.17301940918e-05
hdd,ext4,rand_python_time,2,100,,7.79628753662e-06
hdd,ext4,rand_python_time,3,100,,3.95369529724e-05
hdd,ext4,rand_python_time,4,100,,8.1992149353e-06
hdd,ext4,rand_python_time,5,100,,5.94139099121e-06
hdd,ext4,rand_python_time,6,100,,5.90801239014e-06
hdd,ext4,rand_python_time,7,100,,6.06775283813e-06
ram,tmpfs,rand_python_time,0,1000000,,7.53001689911e-07
ram,tmpfs,rand_python_time,1,1000000,,7.49684095383e-07
ram,tmpfs,rand_python_time,2,1000000,,7.53560304642e-07
ram,tmpfs,rand_python_time,3,1000000,,7.5771689415e-07
ram,tmpfs,rand_python_time,4,1000000,,7.52361536026e-07
ram,tmpfs,rand_python_time,5,1000000,,7.60272741318e-07
ram,tmpfs,rand_python_time,6,1000000,,7.54888296127e-07
